,11135530,9660,Brakel,New-real-estate-project-houses,Unnamed: 4,From 389000 To 498500,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
135,10459787,4100,Seraing,House,,269000,3.0,110.0,,0.0,,15.0,120.0,231.0,3.0,1.0,Good
136,11006302,4530,Villers-le-bouillet,House,,260000,3.0,170.0,,0.0,,,170.0,435.0,4.0,,Good
137,11099322,4100,Seraing-boncelles,New-real-estate-project-houses,,From 269000 To 329000,,,,,,,,,,,
138,11089016,9230,Wetteren,House,,269000,3.0,155.0,,0.0,,26.0,,424.0,3.0,0.0,Good
139,10953365,4600,Vise,House,,269000,2.0,156.0,,0.0,,,535.0,917.0,4.0,0.0,To be done up
140,11029376,1470,Genappe,House,,275000,4.0,163.0,,0.0,,100.0,40.0,250.0,2.0,0.0,To renovate
141,10937761,6997,Arezae,House,,269000,3.0,114.0,,0.0,,7.0,2425.0,2540.0,4.0,0.0,To be done up
142,10993149,9300,Aalst,House,Mixed-use-building,275000,3.0,249.0,,0.0,,21.0,,180.0,2.0,0.0,Good
143,11009335,4100,Seraing,House,,279000,3.0,135.0,,0.0,,68.0,115.0,280.0,3.0,0.0,Good
144,10313565,4100,Seraing,House,,275000,3.0,175.0,,0.0,,27.0,103.0,243.0,2.0,0.0,Good
145,11083039,7070,Thieu,New-real-estate-project-houses,,From 280000 To 327000,,,,,,,,,,,
146,10737084,4650,Herve,New-real-estate-project-houses,,From 277700 To 348000,,,,,,,,,,,
147,10962490,7100,La-louviere,New-real-estate-project-houses,,From 279000 To 305000,,,,,,,,,,,
148,11140876,9890,Gavere,Apartment,,279200,1.0,76.0,,0.0,,11.0,,,4.0,0.0,As new
149,11140840,9030,Gent%20mariakerke,House,,429250,4.0,157.0,,,,14.0,45.0,160.0,3.0,0.0,
150,11140831,9030,Gent%20mariakerke,New-real-estate-project-houses,,From 429250 To 439750,,,,,,,,,,,
151,11140841,9890,Gavere,New-real-estate-project-apartments,,From 268700 To 442375,,,,,,,,,,,
152,11140839,9030,Gent%20mariakerke,House,,439750,5.0,172.0,,0.0,,14.0,39.0,149.0,3.0,0.0,
153,11140830,9000,Gent,Villa,,735000,4.0,272.0,,0.0,,,,430.0,3.0,0.0,To be done up
154,11140827,2620,Hemiksem,House,,275000,2.0,155.0,,,,,,95.0,3.0,,To renovate
155,11140823,6800,Libramont-chevigny,Country-cottage,,175000,2.0,97.0,,0.0,,,1900.0,1970.0,4.0,,To renovate
156,11140826,2260,Westerlo,House,,429000,4.0,279.0,,,,,,774.0,4.0,,Good
157,11140817,1082,Berchem-sainte-agathe,Apartment,,290000,3.0,130.0,,,,,,,4.0,0.0,Good
158,11094271,6840,Neufchateau,New-real-estate-project-houses,,From 280000 To 315000,,,,,,,,,,,
159,11103715,1082,Berchem-sainte-agathe,Apartment,,245000,2.0,110.0,,,,13.0,,,4.0,0.0,Good
160,11140818,7730,N%c3%a9chin,House,,265000,3.0,173.0,,0.0,,40.0,230.0,460.0,2.0,,As new
161,11140816,1082,Berchem-sainte-agathe,Apartment,,275000,3.0,119.0,,,,9.0,,,4.0,0.0,Good
162,11140815,1050,Ixelles,Apartment,,305000,1.0,59.0,,0.0,,,,,2.0,0.0,Good
163,11140806,5590,Ciney,House,Mixed-use-building,199000,2.0,218.0,,0.0,,,,180.0,2.0,,Good
164,11140814,1050,Ixelles,Apartment,,395000,1.0,76.0,,1.0,,15.0,,,2.0,,As new
165,11140802,1070,Anderlecht,House,Apartment-block,520000,4.0,220.0,,0.0,,,,,2.0,0.0,To be done up
166,11140803,1000,Brussels,House,Apartment-block,520000,4.0,220.0,,0.0,,,,,2.0,0.0,To be done up
167,11140813,1050,Ixelles,Apartment,,499000,2.0,90.0,,0.0,,,100.0,,2.0,,As new
168,11140801,1730,Asse,House,,461305,3.0,127.0,,,,,,575.0,3.0,,As new
169,11140800,1700,Dilbeek,House,,426305,3.0,127.0,,,,,,331.0,3.0,,As new
170,11140799,1730,Asse,House,,426305,3.0,127.0,,,,,,331.0,3.0,,As new
171,11140798,9932,Ronsele,Villa,,700000,3.0,185.0,,,,,,2796.0,2.0,,To renovate
172,11140795,5500,Dinant,Apartment,,210000,2.0,92.0,,0.0,,,,,3.0,,Good
173,11140797,1730,Asse%20bekkerzeel,House,,714859,3.0,133.0,,,,,,1120.0,4.0,,As new
174,11140791,3550,Heusden-zolder,House,,269000,3.0,166.0,,,,,,1811.0,4.0,,Good
175,11140789,3550,Heusden-zolder,House,,249000,4.0,178.0,,0.0,,,,800.0,3.0,,
176,11140788,3910,Pelt,Villa,,629000,5.0,255.0,,,,,,2980.0,4.0,,As new
177,11140786,9450,Haaltert,House,,599000,4.0,288.0,,0.0,,,450.0,769.0,4.0,0.0,Good
178,11140787,6820,Florenville%20%28sainte-c%c3%a9cile%29,Villa,,325000,3.0,154.0,,0.0,,,535.0,690.0,4.0,1.0,As new
179,11132589,2060,Antwerp,House,,469000,5.0,220.0,,0.0,,8.0,30.0,110.0,2.0,,Just renovated
180,11116000,5020,Malonne,New-real-estate-project-houses,,376000,,,,,,,,,,,
181,11135057,1200,Bruxelles,House,,650000,4.0,180.0,,0.0,,60.0,,70.0,2.0,0.0,Good
182,11139351,1640,Rhode-st-genese,House,,1590000,6.0,360.0,,0.0,1.0,30.0,,3800.0,4.0,,Good
183,11131509,4020,Wandre,House,,365000,3.0,185.0,,,1.0,48.0,373.0,692.0,4.0,,To be done up
184,11117013,9030,Gent,House,,529000,2.0,160.0,,,1.0,12.0,600.0,877.0,4.0,0.0,As new
185,11123865,2880,Hingene,House,,419000,3.0,197.0,,,1.0,30.0,,555.0,3.0,,To renovate
186,11122652,9520,Sint-lievens-houtem-vlierzele,House,,449000,3.0,167.0,,0.0,,,,887.0,4.0,,As new
187,11123051,1470,Genappe,House,,280000,4.0,240.0,,0.0,,22.0,568.0,737.0,3.0,0.0,To renovate
188,11122360,1150,Woluwe-saint-pierre,House,Town-house,560000,4.0,174.0,,0.0,,,60.0,130.0,2.0,0.0,To renovate
189,11128969,1200,Woluwe-saint-lambert,House,,1190000,5.0,276.0,,0.0,,40.0,50.0,200.0,2.0,0.0,As new
190,11123592,1070,Anderlecht,House,Exceptional-property,1500000,5.0,700.0,,0.0,,175.0,300.0,2500.0,4.0,0.0,As new
191,11128276,2640,Mortsel,House,Apartment-block,995000,6.0,545.0,,0.0,,,,121.0,2.0,0.0,Good
192,11137784,9820,Merelbeke,House,,189000,2.0,136.0,,0.0,,,,160.0,2.0,0.0,To renovate
193,11114411,9600,Ronse,New-real-estate-project-houses,,From 315500 To 320500,,,,,,,,,,,
194,11138379,4030,Grivegnee,House,,230000,4.0,197.0,,,,,160.0,260.0,3.0,0.0,To be done up
195,11114416,9600,Ronse,New-real-estate-project-houses,,From 225000 To 315000,,,,,,,,,,,
196,11115196,4257,Berloz,Villa,,435000,4.0,175.0,,0.0,,50.0,900.0,1661.0,4.0,0.0,As new
197,11112019,1150,Woluwe-saint-pierre,House,,895000,4.0,180.0,,1.0,,,250.0,550.0,3.0,,Good
198,11120647,1090,Jette,House,,375000,4.0,157.0,,0.0,,,30.0,105.0,2.0,0.0,To be done up
199,11121600,8710,Wielsbeke,Villa,,440000,3.0,200.0,,,,,,950.0,4.0,,Good
200,11122274,1030,Schaerbeek,House,Mixed-use-building,460000,5.0,200.0,,0.0,,12.0,,125.0,2.0,,To renovate
201,11127796,2950,Kapellen,House,,595000,3.0,140.0,,,,,5417.0,5560.0,4.0,,To be done up
202,11134120,1420,Braine-lalleud,House,,395000,5.0,190.0,,0.0,,40.0,130.0,255.0,2.0,0.0,As new
203,11123534,1340,Ottignies-louvain-la-neuve,House,,530000,3.0,160.0,,,,,,536.0,3.0,0.0,Good
204,11131302,9120,Beveren,House,,529000,4.0,239.0,,0.0,,25.0,300.0,559.0,3.0,0.0,As new
205,11137929,9500,Geraardsbergen,Villa,,490000,4.0,235.0,,0.0,,38.0,2093.0,2327.0,4.0,,Good
206,11130681,1200,Woluwe-saint-lambert,House,Mixed-use-building,550000,1.0,200.0,,0.0,,10.0,,200.0,2.0,,Good
207,11137709,1150,Woluwe-saint-pierre,Other-property,,2500000,20.0,750.0,,0.0,,,977.0,1203.0,3.0,0.0,To be done up
208,11141727,1357,H%c3%a9l%c3%a9cine,House,,475000,4.0,151.0,,0.0,,30.0,340.0,469.0,4.0,0.0,As new
209,11141703,2800,Mechelen,House,Apartment-block,349000,,170.0,,0.0,,,,85.0,2.0,0.0,
210,11120417,1750,Lennik,House,,499000,4.0,180.0,,0.0,,50.0,630.0,1122.0,4.0,1.0,To be done up
211,11141660,1050,Ixelles,New-real-estate-project-houses,,From 1200000 To 1375000,,,,,,,,,,,
212,11141665,1050,Ixelles,New-real-estate-project-apartments,,From 320000 To 810000,,,,,,,,,,,
213,11141641,1130,Bruxelles,New-real-estate-project-houses,,From 521000 To 561000,,,,,,,,,,,
214,11141635,1180,Uccle,New-real-estate-project-houses,,From 786000 To 814000,,,,,,,,,,,
215,11141681,1082,Berchem-sainte-agathe,New-real-estate-project-apartments,,From 148000 To 382000,,,,,,,,,,,
216,11141626,1180,Uccle,New-real-estate-project-houses,,From 774500 To 859000,,,,,,,,,,,
217,11141592,1180,Uccle,New-real-estate-project-apartments,,From 405000 To 645000,,,,,,,,,,,
218,11141609,1180,Uccle,New-real-estate-project-apartments,,From 415000 To 665000,,,,,,,,,,,
219,11141537,1000,Bruxelles,New-real-estate-project-apartments,,From 432000 To 484000,,,,,,,,,,,
220,11141563,1000,Bruxelles,New-real-estate-project-apartments,,From 312000 To 746000,,,,,,,,,,,
221,11141470,1000,Bruxelles,New-real-estate-project-apartments,,From 364000 To 377000,,,,,,,,,,,
222,11141446,1000,Brussels%20city,New-real-estate-project-apartments,,From 362000 To 375000,,,,,,,,,,,
223,11141490,1000,Bruxelles,New-real-estate-project-apartments,,From 367000 To 444000,,,,,,,,,,,
224,11141237,4960,Malmedy,Apartment,,350000,2.0,104.0,,0.0,,17.0,142.0,209.0,2.0,0.0,Good
225,11141244,1310,La%20hulpe,House,,350000,2.0,104.0,,0.0,,17.0,142.0,209.0,2.0,0.0,Good
226,11141238,4960,Malmedy,Apartment,,107000,1.0,58.0,,0.0,,,35.0,,2.0,0.0,Good
227,11141239,4960,Malmedy,Appartment,Penthouse,107000,1.0,48.0,,0.0,,,35.0,,2.0,0.0,Good
228,11141393,1000,Bruxelles,New-real-estate-project-apartments,,From 350000 To 410000,,,,,,,,,,,
229,11141321,1160,Auderghem,New-real-estate-project-apartments,,From 257500 To 523500,,,,,,,,,,,
230,11141236,4960,Malmedy,Flat-studio,,77000,,40.0,,0.0,,,35.0,,2.0,0.0,Good
231,11141235,4970,Francorchamps,Villa,,389000,3.0,124.0,,0.0,,11.0,641.0,754.0,4.0,0.0,Good
232,11141245,1070,Anderlecht,New-real-estate-project-apartments,,From 289500 To 372500,,,,,,,,,,,
233,11141226,4040,Herstal,House,,235000,2.0,90.0,,0.0,,,223.0,307.0,2.0,,Good
234,11141225,8940,Wervik,House,,234000,3.0,125.0,,,,,,250.0,,,Good
235,11141219,2650,Edegem,Villa,,1545000,4.0,353.0,,0.0,,,,703.0,4.0,,As new
236,11141224,4040,Herstal,House,,299000,4.0,145.0,,0.0,,66.0,98.0,275.0,2.0,1.0,As new
237,11141223,2170,Antwerpen%20merksem,Appartment,Duplex,295000,1.0,126.0,,0.0,,,,,,,
238,11141218,1050,Ixelles,House,Apartment-block,1350000,8.0,540.0,,,,,,130.0,2.0,,Good
239,10677619,4031,Liege,House,,179000,3.0,137.0,,0.0,,16.0,43.0,145.0,2.0,0.0,Good
240,10459282,4100,Seraing,House,,179000,3.0,82.0,,0.0,,13.0,65.0,128.0,2.0,0.0,Just renovated
241,10906723,1341,Ceroux-mousty,House,,180000,3.0,126.0,,,,,66.0,160.0,2.0,,To renovate
242,11030656,4500,Huy,House,,189000,2.0,110.0,,,1.0,22.0,620.0,710.0,3.0,,As new
243,10993405,4100,Seraing,House,,180000,3.0,100.0,,0.0,,20.0,70.0,124.0,2.0,,As new
244,10925280,1300,Wavre,House,,195000,1.0,70.0,,,,,,40.0,3.0,,Just renovated
245,10915689,4520,Antheit,House,,189000,3.0,153.0,,,,35.0,2555.0,2720.0,4.0,,Good
246,11099738,4683,Oupeye,House,,199000,2.0,138.0,,0.0,,21.0,30.0,172.0,3.0,0.0,Good
247,10396436,4540,Amay,House,Bungalow,199000,3.0,102.0,,0.0,,,677.0,818.0,4.0,0.0,Good
248,11009311,4032,Liege,House,,199000,3.0,102.0,,0.0,,,677.0,818.0,4.0,0.0,Good
